id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1418586405333315588,1418586405333315588,2021-07-23 16:58:49 EET,2021-07-23,16:58:49,200,1187065059220099072,brthebar,The Bar Brasil,,"O Tanqueray Nº Ten se diferencia do London Dry por ser destilado com frutas cítricas. Esse toque cítrico faz com que ele seja uma boa opção para fazer o Martini, finalizado com a casca da laranja ou do limão.  https://t.co/ncRMTWjpWP",pt,[],[],['https://pbs.twimg.com/media/E6_S5QLXMAcjcVy.jpg'],0,0,0,[],[],https://twitter.com/brthebar/status/1418586405333315588,false,,1,https://pbs.twimg.com/media/E6_S5QLXMAcjcVy.jpg,,,,,,,[],,,,
1418586383166304260,1418586383166304260,2021-07-23 16:58:44 EET,2021-07-23,16:58:44,200,1101862991002198021,golferic1,ต้าวแจ้ม 🍋,,พูดถึง #Tokyo2020 สิ่งแรกที่ผุดมาในหัวคือ Tokyo Seoul London New York  ใครอ่านใส่ทำนอง=กะเทย,th,[],[],[],0,0,0,['tokyo2020'],[],https://twitter.com/golferic1/status/1418586383166304260,false,,0,,,,,,,,[],,,,
1418586382520315905,1418580101873115140,2021-07-23 16:58:44 EET,2021-07-23,16:58:44,200,1145691527970095104,whiteforsky,Lit ☁️🕊,,@vousmekals Rioooo itu kakk kl ga salah~ soalnya london tuh olympics ringnya dari langit nggak si,in,[],[],[],0,0,0,[],[],https://twitter.com/whiteforsky/status/1418586382520315905,false,,0,,,,,,,,"[{'screen_name': 'vousmekals', 'name': 'ayu🍞🍑', 'id': '195312855'}]",,,,
1418586380159098880,1418279024145616904,2021-07-23 16:58:43 EET,2021-07-23,16:58:43,200,52257328,graelwyn,Katharine Zoe Ruth 💙💙💙,,"@TigressEllie @BorisJohnson Hog = big. Must be tired. I am waiting for my 2nd Jab on 28th. Regrettably, I waited months whilst I assessed everything. I am very nervous as going to London to see my mum the 3rd Aug and I know it is rife there and I don't want to get sick, living alone",en,[],[],[],0,0,0,[],[],https://twitter.com/Graelwyn/status/1418586380159098880,false,,0,,,,,,,,"[{'screen_name': 'TigressEllie', 'name': 'Tigress', 'id': '1220843046125940736'}, {'screen_name': 'BorisJohnson', 'name': 'Boris Johnson', 'id': '3131144855'}]",,,,
1418586377197957120,1418586377197957120,2021-07-23 16:58:43 EET,2021-07-23,16:58:43,200,1358601784525266946,lumaott,Luma,,toda olimpíada eu tenho um crush  beijing 2008: thiago pereira london 2012: ryan lochte rio 2016: ricardo lucarelli #Tokyo2020 : hwang sunwoo,pt,[],[],[],0,0,0,['tokyo2020'],[],https://twitter.com/lumaott/status/1418586377197957120,false,,0,,,,,,,,[],,,,
1418586376140959745,1418583044055777296,2021-07-23 16:58:42 EET,2021-07-23,16:58:42,200,991074997069402112,that_greg_guy,greg,,@BuddNicholas London is really something else...,en,[],[],[],0,0,0,[],[],https://twitter.com/that_greg_guy/status/1418586376140959745,false,,0,,,,,,,,"[{'screen_name': 'BuddNicholas', 'name': 'Nick Budd', 'id': '846150806'}]",,,,
1418586369648037888,1418586369648037888,2021-07-23 16:58:41 EET,2021-07-23,16:58:41,200,728151837560348672,fashionneen,RandomFashion 💙❤️💚💛💜,,"Remember peeps, it’s usually the closing ceremony that has the performances Eg. Spice Girls featured in the closing ceremony of London 2012",en,[],[],[],0,0,0,[],[],https://twitter.com/FashionNeen/status/1418586369648037888,false,,0,,,,,,,,[],,,,
1418586354779312134,1418586354779312134,2021-07-23 16:58:37 EET,2021-07-23,16:58:37,200,11699052,chichi_uk2002,chichi🍀🌈💐,,ロンドンオリンピックの聖火台はMuseum of Londonに行くと見ることできると思います。  London 2012 Olympics Cauldron | Museum of London  https://t.co/jR9emP1IZT,ja,[],['https://www.museumoflondon.org.uk/museum-london/permanent-galleries/london-2012-cauldron'],[],0,0,0,[],[],https://twitter.com/chichi_uk2002/status/1418586354779312134,false,,0,,,,,,,,[],,,,
1418586350241124353,1418586350241124353,2021-07-23 16:58:36 EET,2021-07-23,16:58:36,200,1243374325,nhsbromley_ccg,Bromley CCG,,Fantastic! Well done @tomallencomedy  🙌  #Bromley and SE #London #DontMissYourVaccine first and second dose 👍  More info  https://t.co/BOlDGjysKE  @StChrisHospice @KingsCollegeNHS @bromleyhcare @blgmind @BromleyGPs @NHSSELondonCCG @OxleasNHS @LBofBromley,en,"[{'screen_name': 'tomallencomedy', 'name': 'tom allen', 'id': '49573828'}, {'screen_name': 'stchrishospice', 'name': ""st christopher's"", 'id': '163906428'}, {'screen_name': 'kingscollegenhs', 'name': ""king's college nhs"", 'id': '312542028'}, {'screen_name': 'bromleyhcare', 'name': 'bromley healthcare', 'id': '2353063598'}, {'screen_name': 'blgmind', 'name': 'bromley, lewisham & greenwich mind', 'id': '1346668992'}, {'screen_name': 'bromleygps', 'name': 'bromley gp alliance', 'id': '3106997356'}, {'screen_name': 'nhsselondonccg', 'name': 'nhs south east london clinical commissioning group', 'id': '1250415252258213888'}, {'screen_name': 'oxleasnhs', 'name': 'oxleas nhs', 'id': '229056779'}, {'screen_name': 'lbofbromley', 'name': 'bromley council', 'id': '55187233'}]",['http://nhsselvax.com'],[],0,0,0,"['bromley', 'london', 'dontmissyourvaccine']",[],https://twitter.com/NHSBromley_CCG/status/1418586350241124353,false,https://twitter.com/Champion3Claire/status/1418583701852770310,0,,,,,,,,[],,,,
1418586337129684996,1418560871337537539,2021-07-23 16:58:33 EET,2021-07-23,16:58:33,200,806118112252821504,nicholsonprop,Nicholson & Co,,@Wilson34David Perhaps the Scots don’t realise that Tesco is listed on the English stock exchange (some may say British) – but the one based in London  anyway and perhaps that led to the confusion,en,[],[],[],0,0,0,[],[],https://twitter.com/nicholsonprop/status/1418586337129684996,false,,0,,,,,,,,"[{'screen_name': 'Wilson34David', 'name': 'DavidWilson34 🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', 'id': '1293763309934645250'}]",,,,
